V4_0,mmm-yy,time,uk-only,geography,cpih1dim1aggid,aggregate
77.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S110102,11.1.2 Canteens
89.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120102,12.1.2/3 Appliances and products for personal care
79.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1A0,Overall Index
71.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G10100,01.1 Food
99.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120502,12.5.2 House contents insurance
99.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S30103,03.1.3 Other clothing and clothing accessories
73.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G110100,11.1 Catering services
86.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120100,12.1 Personal care
77.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40100,04.1.0 Actual rentals for housing
85.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40200,04.2.0 Owner Occupied Housing Costs
75,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120300,12.3 Personal effects (nec)
72.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40301,04.3.1 Materials for maintenance and repair
83.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40302,04.3.2 Services for maintenance and repair
61.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G120500,12.5 Insurance
80.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G20100,02.1 Alcoholic beverages
40.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40502,04.5.2 Gas
82,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40900,04.9.0 Council Tax and rates
52.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G20200,02.2 Tobacco
92.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G50300,"05.3 Household appliances, fitting and repairs"
82.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S50101,05.1.1 Furniture and furnishings
90.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G60100,"06.1 Medical products, appliances and equipment"
77.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G60200,06.2 Out-patient services
99.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G70100,07.1 Purchase of vehicles
102.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90300,"09.3 Other recreational items, gardens and pets"
78.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1G90600,09.6 Package holidays
71.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10101,01.1.1 Bread and cereals
72.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10102,01.1.2 Meat
63.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10103,01.1.3 Fish
80.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10109,01.1.9 Food products (nec)
66.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S10201,"01.2.1 Coffee, tea and cocoa"
91.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S50303,05.3.3 Repair of household appliances
74.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S50500,05.5.0 Tools and equipment for House and Garden
74.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S50602,05.6.2 Domestic services and household services
72.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S110101,"11.1.1 Restaurants, cafes"
78,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120101,12.1.1 Hairdressing and personal grooming establishments
77.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S110200,11.2.0 Accommodation Services
87.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S60101,06.1.1 Pharmaceutical products
66.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120301,"12.3.1 Jewellery, clocks and watches"
67.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120400,12.4.0 Social Protection
95.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120302,12.3.2 Other personal effects
59,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S60300,06.3.0 Hospital Services
51.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120504,12.5.4 Transport insurance
52.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120503,12.5.3 Health insurance
73.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120700,12.7.0 Other Services Not Elsewhere covered
82.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70102,07.1.2/3 Motorcycles and bicycles
75.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S20101,02.1.1 Spirits
106.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S120602,12.6.2 Other financial services (nec)
125,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S30102,03.1.2 Garments
86.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70181,07.1.1 New Cars
121.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S30200,03.2.0 Footwear including repairs
77.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S20102,02.1.2 Wine
66.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40403,04.4.3 Sewerage collection
70.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70302,07.3.2 Passenger transport by road
75,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40503,04.5.3 Liquid fuels
92.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S20103,02.1.3 Beer
102.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S50200,05.2.0 Household Textiles
50.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70303,07.3.3 Passenger transport by air
52.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S20200,02.2.0 Tobacco
74.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S30104,"03.1.4 Cleaning, repair and hire of clothing"
44.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S80100,08.1.0 Postal Services
69.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40401,04.4.1 Water supply
49.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40501,04.5.1 Electricity
53.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S40504,04.5.4 Solid fuels
80.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S50102,05.1.2 Carpets and other floor coverings
92.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S50301,05.3.1/2 Major appliances and small electric goods
969.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90102,"09.1.2 Photographic, cinematographic and optical equipment"
128.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90104,09.1.4 Recording media
81.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90105,"09.1.5 Repair of audio-visual equipment , related products"
82.1,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S60201,"06.2.1/3 Medical services, paramedical services"
84.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S50400,"05.4.0 Glassware, Tableware and Household Utensils"
72.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S60202,06.2.2 Dental services
82.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70201,07.2.1 Spare parts and accessories
75.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S50601,05.6.1 Non-durable household goods
94.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S60102,06.1.2/3 Other medical and therapeutic equipment
76.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70202,07.2.2 Fuels and lubricants
69.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70203,07.2.3 Maintenance and repairs
127.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70191,07.1.1b Second Hand Cars
52.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70304,07.3.4 Passenger transport by sea and inland waterway
75.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70204,07.2.4 Other services
62.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S70301,07.3.1 Passenger transport by railway
90.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S80200,08.2.0 Telephone and Telefax Equipment & Services
260.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90101,09.1.1 Reception and reproduction of sound and pictures
391.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90103,09.1.3 Data processing equipment
79.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90201,09.2.1/2 Major durables for in/outdoor recreation
89.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90303,"09.3.3 Gardens, plants and flowers"
67.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90401,09.4.1 Recreational and sporting services
72.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90304,"09.3.4/5 Pets, related products and services"
119.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90301,"09.3.1 Games, toys and hobbies"
102.2,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90302,09.3.2 Equipment for sport and open-air recreation
70.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90402,09.4.2 Cultural services
79.7,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90503,"09.5.3/4 Misc. printed matter, stationery, drawing materials"
82.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T120000,12 Miscellaneous goods and services
73.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T70000,07 Transport
87.6,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T80000,08 Communication
98.5,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T90000,09 Recreation and culture
73.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G10200,01.2 Non-alcoholic beverages
81.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G110200,11.2 Accommodation services
75.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G120300,12.3 Personal effects (nec)
80.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G20100,02.1 Alcoholic beverages
54.7,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G20200,02.2 Tobacco
87.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G40200,04.2.0 Owner Occupied Housing Costs
77.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G40300,04.3 Regular maintenance and repair of the dwelling
71.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G40400,04.4 Water supply and misc. services for the dwelling
56.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G40500,"04.5 Electricity , gas and other fuels"
81.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G50100,"05.1 Furniture, furnishings and carpets"
89.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G60100,"06.1 Medical products, appliances and equipment"
63.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G60300,06.3 Hospital services
98.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G70100,07.1 Purchase of vehicles
47.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G80100,08.1 Postal services
90.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G80200,08.2/3 Telephone and telefax equip
79.7,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G90200,9.2 Other major durables for recreation and culture
74.1,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G90500,"09.5 Books, newspapers and stationery"
77.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90501,09.5.1 Books
78.3,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90600,09.6.0 Package Holidays
71.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T10000,01 Food and non-alcoholic beverages
122,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T30000,03 Clothing and footwear
77.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T40000,"04 Housing, water, electricity, gas and other fuels"
82.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T50000,"05 Furniture, household equipment and maintenance"
80.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1A0,Overall Index
62.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G120500,12.5 Insurance
85.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G40900,04.9.0 Council Tax and rates
87.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G50300,"05.3 Household appliances, fitting and repairs"
83.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G50400,"05.4 Glassware, tableware and household utensils"
78.5,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G70200,07.2 Operation of personal transport equipment
73.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G90400,09.4 Recreational and cultural services
77,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G90600,09.6 Package holidays
62.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1S90502,09.5.2 Newspapers and periodicals
39.9,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T100000,10 Education
73.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T110000,11 Restaurants and hotels
62.8,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T20000,02 Alcoholic beverages and tobacco
75.4,Month,Apr-05,K02000001,United Kingdom,cpih1dim1T60000,06 Health
41.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G100000,10.0 Education
71.4,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G10100,01.1 Food
75.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G110100,11.1 Catering services
88.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G120100,12.1 Personal care
71.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G120400,12.4 Social protection
112.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G120600,12.6 Financial services (nec)
78.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G120700,12.7 Other services (nec)
116.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G30100,03.1 Clothing
115.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G30200,03.2 Footwear including repairs
79.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G40100,04.1 Actual rentals for housing
97.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G50200,05.2 Household textiles
74.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G50500,05.5 Tools and equipment for house and garden
76.5,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G50600,05.6 Goods and services for routine maintenance
81,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G60200,06.2 Out-patient services
55.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G70300,07.3 Transport services
220.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G90100,09.1 Audio-visual equipment and related products
100.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1G90300,"09.3 Other recreational items, gardens and pets"
41.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S100000,10.0.0 Education
75.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10104,"01.1.4 Milk, cheese and eggs"
79,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10109,01.1.9 Food products (nec)
75,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10202,"01.2.2 Mineral waters, soft drinks and juices"
79.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S110102,11.1.2 Canteens
80.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S120101,12.1.1 Hairdressing and personal grooming establishments
71.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S120400,12.4.0 Social Protection
56.4,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S120503,12.5.3 Health insurance
112.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S120602,12.6.2 Other financial services (nec)
66.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10105,01.1.5 Oils and fats
68.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10201,"01.2.1 Coffee, tea and cocoa"
81.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S110200,11.2.0 Accommodation Services
68.1,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S120301,"12.3.1 Jewellery, clocks and watches"
93.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S120302,12.3.2 Other personal effects
98.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S120502,12.5.2 House contents insurance
99.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S30103,03.1.3 Other clothing and clothing accessories
115.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S30200,03.2.0 Footwear including repairs
69.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40403,04.4.3 Sewerage collection
73.1,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10101,01.1.1 Bread and cereals
58.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40501,04.5.1 Electricity
73,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10102,01.1.2 Meat
57.7,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40504,04.5.4 Solid fuels
66.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10103,01.1.3 Fish
82.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S50101,05.1.1 Furniture and furnishings
67.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10106,01.1.6 Fruit
81.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S50102,05.1.2 Carpets and other floor coverings
71.5,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10107,01.1.7 Vegetables including potatoes and tubers
67.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S10108,"01.1.8 Sugar, jam, syrups, chocolate and confectionery"
74.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S110101,"11.1.1 Restaurants, cafes"
91,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S120102,12.1.2/3 Appliances and products for personal care
51.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S120504,12.5.4 Transport insurance
78.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S120700,12.7.0 Other Services Not Elsewhere covered
74.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S20101,02.1.1 Spirits
79.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S20102,02.1.2 Wine
91.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S20103,02.1.3 Beer
77.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S30104,"03.1.4 Cleaning, repair and hire of clothing"
79.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40100,04.1.0 Actual rentals for housing
54.7,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S20200,02.2.0 Tobacco
97.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S50200,05.2.0 Household Textiles
87.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40200,04.2.0 Owner Occupied Housing Costs
119.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S30102,03.1.2 Garments
93.1,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S50303,05.3.3 Repair of household appliances
71.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40301,04.3.1 Materials for maintenance and repair
73.4,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40401,04.4.1 Water supply
87.4,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40302,04.3.2 Services for maintenance and repair
83.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S50400,"05.4.0 Glassware, Tableware and Household Utensils"
51,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40502,04.5.2 Gas
93.7,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40503,04.5.3 Liquid fuels
74.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S50500,05.5.0 Tools and equipment for House and Garden
85.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S40900,04.9.0 Council Tax and rates
87.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S60101,06.1.1 Pharmaceutical products
93.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S60102,06.1.2/3 Other medical and therapeutic equipment
121.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70191,07.1.1b Second Hand Cars
84.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70201,07.2.1 Spare parts and accessories
83.7,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70202,07.2.2 Fuels and lubricants
80,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70204,07.2.4 Other services
65.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70301,07.3.1 Passenger transport by railway
72.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70302,07.3.2 Passenger transport by road
47.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S80100,08.1.0 Postal Services
222.4,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90101,09.1.1 Reception and reproduction of sound and pictures
86.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S50301,05.3.1/2 Major appliances and small electric goods
77.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S50602,05.6.2 Domestic services and household services
121.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90104,09.1.4 Recording media
115.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90301,"09.3.1 Games, toys and hobbies"
85.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S60201,"06.2.1/3 Medical services, paramedical services"
80.4,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70102,07.1.2/3 Motorcycles and bicycles
98.1,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90302,09.3.2 Equipment for sport and open-air recreation
88.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90303,"09.3.3 Gardens, plants and flowers"
73.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70203,07.2.3 Maintenance and repairs
78.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S50601,05.6.1 Non-durable household goods
76,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S60202,06.2.2 Dental services
63.2,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S60300,06.3.0 Hospital Services
86.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70181,07.1.1 New Cars
57.4,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70303,07.3.3 Passenger transport by air
90.9,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S80200,08.2.0 Telephone and Telefax Equipment & Services
338,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90103,09.1.3 Data processing equipment
84.1,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90105,"09.1.5 Repair of audio-visual equipment , related products"
79.7,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90201,09.2.1/2 Major durables for in/outdoor recreation
74.1,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90304,"09.3.4/5 Pets, related products and services"
71.1,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90401,09.4.1 Recreational and sporting services
77,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90600,09.6.0 Package Holidays
41.8,Month,Apr-06,K02000001,United Kingdom,cpih1dim1T100000,10 Education
76,Month,Apr-06,K02000001,United Kingdom,cpih1dim1T110000,11 Restaurants and hotels
66.7,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90502,09.5.2 Newspapers and periodicals
58.6,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S70304,07.3.4 Passenger transport by sea and inland waterway
80.7,Month,Apr-06,K02000001,United Kingdom,cpih1dim1T40000,"04 Housing, water, electricity, gas and other fuels"
64.3,Month,Apr-06,K02000001,United Kingdom,cpih1dim1T20000,02 Alcoholic beverages and tobacco
690,Month,Apr-06,K02000001,United Kingdom,cpih1dim1S90102,"09.1.2 Photographic, cinematographic and optical equipment"
77.4,Month,Apr-06,K02000001,United Kingdom,cpih1dim1T60000,06 Health
